Gemeindename,Score,Total Anzahl Dossiers,Total Sozialhilfequote,Total Sozialhilfequote Schweizer,Total Sozialhilfequote Ausländer,Alter 0-17,Alter 18-64,Alter 65+,obligatorische Schule,sekundarstufe I,tertiärstufe,Personenschaden absolut mit Personenschaden,Personenschaden pro 1000 Einwohner,Durchschnitt Anzahl 2017-2021,davon getötete Personen,davon verletze Personen,Lenker/innen,Mitfahrer/innen,Fussgänger/innen,Fahrzeugähnliche Geräte,Rank,Longitude,Latitude,Distanz zu nächsten Prontoshop in km,Median Einkommen,Ergänzungsleistungen in % zu Median,Einkommen aus Vermögenserträgen,Frei verfügbares Einkommen,20000,100000,1000000,Total Aktiven,Finanzvermögen¹,Verwaltungsvermögen,Total Passiven,Fremdkapital,Eigenkapital,Spezielfinanzierung EK,Fond im EK,Aufwertungsreserven,überiges Eigentkapital,Bilanzüberschuss
Adligenswil,1.2030885257676422,29.0,0.8,0.4,3.6,1.2,0.9,0.2,0.0,0.2,0.0,3,0.5,4.0,0,3,3,0,0,0,27.0,8.365,47.071,0.9692284471429086,113964.0,1.9,6.8,38350.0,1.45770625,13.340659999999998,19.415038837500003,76818669,40621889,36196780,76818669,43315758,33502911,6979702,299028,0,0,26224182
Aesch,0.5207398096606213,10.0,0.9,0.9,0.6,0.5,1.2,0.0,0.0,0.0,0.0,1,0.8,3.0,0,4,3,1,0,0,10.0,8.239,47.255,10.666997716617413,105910.0,2.7,1.5,36123.0,1.44925,13.2476,19.2791315,21466150,11552799,9913351,21466150,7704460,13761690,8167324,0,2860,0,5591506
Alberswil,0.7003052612677321,5.0,1.4,1.0,3.3,2.6,1.3,0.0,0.0,0.0,0.0,4,6.0,3.0,0,4,4,0,0,0,16.0,7.997,47.15,6.701789557164956,100932.0,2.0,0.3,33212.0,1.4923000000000002,13.721360000000002,19.9710234,8323012,4955889,3367123,8323012,4375329,3947683,1287875,30763,0,0,2629044
Altbüron,0.7182618064284432,12.0,2.5,2.1,2.7,6.1,2.0,0.0,0.0,0.0,0.0,1,1.0,2.0,0,1,1,0,0,0,17.0,7.882,47.18,8.44034842861059,110468.0,2.5,2.5,34431.0,1.612225,15.04112,20.20764,12044450,6513672,5530778,12044450,8502752,3541699,1254746,38801,0,0,2248152
Altishofen,1.0055665289998204,17.0,1.3,0.5,5.3,2.1,1.3,0.0,0.0,0.0,0.0,5,2.5,4.0,0,5,4,1,0,0,25.0,7.96,47.202,2.059905281510924,103200.0,2.2,0.5,32644.0,1.396975,12.67232,18.43897705,27343168,13569690,13773478,27343168,6820858,20522311,4876009,56841,4775488,0,10813973
Ballwil,1.5263063386604416,11.0,0.6,0.4,3.2,0.7,0.7,0.0,0.0,0.4,0.0,6,2.2,7.0,0,9,9,0,0,0,32.0,8.321,47.152,2.7806816941363413,109240.0,1.2,2.9,37334.0,1.310875,11.7248,17.055193250000002,60179323,26642794,33536529,60179323,14165025,46014298,27868716,344277,7155221,0,10646084
Beromünster,3.088525767642305,51.0,1.2,0.7,5.0,1.5,1.4,0.0,0.0,0.6,0.0,11,1.6,13.0,0,12,10,1,1,0,51.0,8.193,47.207,7.739825232095154,103287.0,2.3,0.7,33795.0,1.440025,13.14608,19.13086895,67587948,33762453,33825495,67587948,15971834,51616113,15066639,459254,0,0,36090221
Buchrain,6.751660980427365,77.0,2.5,1.1,7.5,5.0,2.0,0.8,0.0,0.5,0.3,26,4.0,28.0,0,33,25,7,1,0,59.0,8.346,47.095,2.1276063071706677,109816.0,3.7,0.0,35999.0,1.440025,13.14608,19.13086895,67659208,31111728,36547480,67659208,35568282,32090925,10286377,545550,6547755,0,14711243
Büron,0.9876099838391094,22.0,1.5,0.9,3.2,2.4,1.5,0.0,0.0,0.4,0.0,1,0.4,4.0,0,1,1,0,0,0,24.0,8.091,47.215,4.833846309667595,100634.0,3.9,0.0,31208.0,1.5645625,14.516600000000002,20.20764,29638357,15790680,13847677,29638357,9401704,20236653,9508430,60497,1095408,0,9572319
Buttisholz,1.1312623451247978,13.0,0.5,0.3,2.0,0.4,0.7,0.0,0.0,0.4,0.2,6,1.8,4.0,0,7,6,1,0,0,26.0,8.095,47.115,6.228208342371284,108511.0,2.1,1.3,34279.0,1.495375,13.7552,20.02044425,53102722,22115367,30987355,53102722,20504193,32598529,8106181,144993,9159374,0,15187982
Dagmersellen,3.8965702998743046,50.0,1.5,1.1,3.6,2.8,1.5,0.0,0.0,0.4,0.0,17,3.0,19.0,0,19,14,2,3,0,54.0,7.99,47.214,0.6188445099263139,101952.0,3.0,0.0,33021.0,1.4154250000000002,12.87536,18.73550215,80175914,36620200,43555713,80175914,33141703,47034210,14760853,786337,8773065,0,22713956
Dierikon,2.3882205063745734,29.0,2.8,2.3,4.6,3.9,2.8,1.0,0.0,0.0,0.0,9,5.6,8.0,1,12,9,4,0,0,43.0,8.372,47.097,3.5864960239856623,104030.0,4.4,0.0,34097.0,1.4154250000000002,12.87536,18.73550215,19311578,13555828,5755749,19311578,8591259,10720318,4350968,0,0,0,6369350
Ebikon,15.550368109175794,262.0,3.1,2.1,6.6,5.3,3.4,0.2,4.4,1.5,0.5,59,4.2,45.0,1,68,54,10,4,1,63.0,8.34,47.082,0.6578099497324005,93318.0,4.9,0.0,31529.0,1.403125,12.740000000000002,18.53781875,133422241,68975340,64446901,133422241,97323051,36099190,9287839,483812,4840801,0,21486737
Egolzwil,0.7541748967498654,17.0,1.9,0.8,11.3,3.0,1.9,0.0,0.0,0.0,0.0,1,0.6,1.0,1,0,1,0,0,0,18.0,8.006,47.185,3.1791340490087223,107903.0,2.2,2.2,37378.0,1.48,13.586,19.77334,17288578,7262487,10026091,17288578,8302806,8985772,3771262,37334,726797,0,4450380
Emmen,29.718082240976837,724.0,3.7,2.8,5.3,5.9,4.0,0.2,4.6,1.8,0.4,60,1.9,69.0,0,71,57,6,6,2,65.0,8.302,47.079,0.9727602681092574,81193.0,5.9,0.0,25910.0,1.4600125,13.366040000000002,19.452104475,284889931,100068812,184821120,284889931,246008627,38881305,27516394,858188,-6156176,0,16662898
Entlebuch,2.729394864428084,27.0,1.2,0.9,6.0,2.3,1.2,0.2,0.0,0.3,0.0,14,4.3,14.0,0,23,16,7,0,0,48.0,8.065,46.992,6.783156357017955,87026.0,3.2,0.1,30160.0,1.5415,14.2628,20.20764,53758880,22117669,31641211,53758880,23986957,29771923,6042827,1641938,5972778,0,16114380
Ermensee,0.4309570838570659,7.0,1.0,0.6,3.7,1.0,1.2,0.0,0.0,0.0,0.0,2,2.0,2.0,0,2,2,0,0,0,8.0,8.243,47.228,7.800978963063839,110197.0,2.2,5.3,35207.0,1.5046,13.85672,20.1687068,10373722,5777430,4596292,10373722,5752894,4620828,2582142,36141,54949,0,1947597
Eschenbach,2.1188723289639078,18.0,0.7,0.6,1.7,0.8,0.9,0.0,0.0,0.8,0.0,9,2.4,10.0,0,11,9,2,0,0,40.0,8.32,47.133,4.269348234270701,110585.0,2.0,0.9,37871.0,1.2908875,11.50484,16.733957725,85114075,25104356,60009719,85114075,37818438,47295637,23385891,149100,12374091,0,11386554
Escholzmatt-Marbach,2.513916322499551,44.0,1.7,0.9,16.8,2.8,1.9,0.2,0.0,0.9,0.3,9,2.1,8.0,0,12,6,3,2,1,44.0,7.935,46.914,6.5117409696899085,78487.0,4.3,0.0,27129.0,1.51075,13.9244,20.20764,59060107,18143975,40916132,59060107,19773049,39287058,13697543,338464,6694974,0,18556077
Ettiswil,1.8674806967139523,28.0,1.4,1.4,0.3,1.3,1.6,0.2,0.0,0.8,0.0,9,3.2,6.0,0,14,11,3,0,0,37.0,8.014,47.149,7.100873151719475,101222.0,2.7,0.9,33562.0,1.4923000000000002,13.721360000000002,19.9710234,27498562,7696540,19802022,27498562,10372244,17126319,5216688,332000,0,0,11577630
Fischbach,0.2873047225713773,8.0,1.7,1.6,2.7,0.8,2.4,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0,0,0,0,0,6.0,7.908,47.156,8.327204168738781,97530.0,2.9,2.4,30127.0,1.612225,15.04112,20.20764,7408495,3617565,3790931,7408495,3033939,4374557,908033,5953,503670,0,2956901
Flühli,0.2154785419285329,6.0,0.4,0.4,0.4,0.0,0.5,0.3,0.0,0.0,0.0,1,0.5,2.0,0,1,1,0,0,0,3.0,8.015,46.885,6.730364633846122,82205.0,3.8,0.3,27759.0,1.51075,13.9244,20.20764,31238324,16236598,15001726,31238324,3430354,27807970,13507772,1499929,3677387,0,9122883
Geuensee,1.7238283354282635,32.0,2.2,0.7,6.8,4.2,1.9,0.0,0.0,1.0,0.2,6,2.1,7.0,0,6,4,1,1,0,35.0,8.113,47.2,3.136930379025022,105098.0,3.3,3.3,33466.0,1.550725,14.364319999999998,20.20764,30103553,10552913,19550639,30103553,16637760,13465793,3332827,735918,5999578,0,3397470
Gisikon,0.7182618064284432,24.0,2.7,1.6,6.1,4.4,2.7,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,0,0,17.0,8.399,47.127,3.5133396829689256,121766.0,2.0,3.3,42296.0,1.33855,12.02936,17.4999809,20463948,11884876,8579072,20463948,14980192,5483757,190723,0,0,0,5293033
Greppen,0.4309570838570659,11.0,1.1,0.9,1.7,0.9,1.4,0.0,0.0,0.0,0.0,1,0.8,2.0,0,1,1,0,0,0,8.0,8.43,47.056,5.553962444953534,117522.0,2.1,7.7,39713.0,1.433875,13.078399999999998,19.03202725,19258064,7001531,12256533,19258064,8324524,10933541,1562173,182280,380000,0,8809088
Grossdietwil,0.2513916322499551,7.0,1.4,0.8,7.0,2.2,1.6,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0,0,0,0,0,5.0,7.889,47.172,8.365221584832005,92163.0,2.4,0.0,31976.0,1.5814750000000002,14.70272,20.20764,8630707,3269433,5361274,8630707,2922258,5708449,1544657,6400,0,0,4157391
Grosswangen,1.4903932483390196,27.0,1.5,0.9,5.1,2.2,1.5,0.2,0.0,1.0,0.0,4,1.2,4.0,0,5,3,1,1,0,31.0,8.05,47.133,5.997182301924066,99400.0,2.4,0.3,32960.0,1.44925,13.2476,19.2791315,38870697,15100776,23769921,38870697,19069325,19801372,4586994,51247,1797037,0,13366094
Hasle,0.6105225354641767,7.0,0.6,0.4,9.1,0.9,0.7,0.0,0.0,0.0,0.0,2,1.2,3.0,0,3,3,0,0,0,13.0,8.051,46.98,5.078644964842568,88140.0,3.0,0.3,28964.0,1.618375,15.1088,20.20764,20981542,8207608,12773934,20981542,12665342,8316200,3248275,47051,0,0,5020875
Hergiswil,0.5925659903034657,5.0,0.5,0.4,1.6,0.7,0.5,0.0,0.0,0.0,0.0,3,1.6,2.0,0,4,3,1,0,0,12.0,7.959,47.086,9.106069561691271,93052.0,3.2,0.0,27315.0,1.556875,14.432,20.20764,31292514,12135751,19156762,31292514,12381295,18911219,10552814,80239,0,0,8278165
Hildisrieden,0.8080445322319986,11.0,0.9,0.5,4.6,1.6,1.0,0.0,0.0,0.4,0.0,2,0.8,4.0,0,3,3,0,0,0,20.0,8.233,47.15,3.6700095158387147,126359.0,1.6,5.7,42999.0,1.372375,12.4016,18.04361025,23172907,10370963,12801944,23172907,11439333,11733575,3282163,0,1141929,0,7309482
Hitzkirch,4.614832106302747,71.0,2.2,1.0,8.2,3.5,2.3,0.0,0.0,1.4,0.0,17,2.9,15.0,0,19,17,1,1,0,56.0,8.264,47.225,6.896203347740374,107926.0,2.8,2.4,34623.0,1.489225,13.68752,19.92160255,61077812,34667995,26409818,61077812,21354493,39723319,11694318,1747877,7901445,0,18379679
Hochdorf,6.3207038965703,123.0,2.3,1.3,5.7,4.4,2.2,0.1,2.3,1.2,0.0,16,1.6,17.0,0,17,12,3,2,0,58.0,8.293,47.167,0.269918348516138,94900.0,3.9,0.0,31488.0,1.4676999999999998,13.45064,19.5756566,187708879,107119419,80589460,187708879,110058769,77650110,17703501,263543,28395593,0,31287473
Hohenrain,1.2569581612497756,8.0,0.5,0.5,0.0,0.4,0.5,0.3,0.0,0.0,0.0,9,3.7,5.0,0,9,9,0,0,0,28.0,8.318,47.179,2.583229546232219,109345.0,1.7,1.6,34885.0,1.556875,14.432,20.20764,36227877,14513146,21714731,36227877,18014794,18213083,11295524,95779,0,0,6821779
Horw,10.055665289998204,231.0,2.5,1.6,6.4,4.3,2.7,0.4,6.7,1.5,0.3,25,1.7,23.0,0,29,27,1,1,0,62.0,8.313,47.019,0.8828898424165649,97881.0,4.2,0.1,34273.0,1.2955,11.5556,16.808089000000002,384928403,166256524,218671878,384928403,132092994,252835409,49863557,1741828,7000000,0,194230025
Inwil,2.908960316035195,15.0,0.6,0.6,1.1,0.3,0.8,0.3,0.0,0.0,0.0,14,5.0,13.0,0,23,18,5,0,0,49.0,8.35,47.122,5.074026586369874,111301.0,1.6,0.1,36431.0,1.4000499999999998,12.70616,18.4883979,27066970,11452399,15614572,27066970,9846264,17220706,6073523,444401,1506144,0,9196638
Knutwil,1.4544801580175974,9.0,0.5,0.3,2.6,0.7,0.6,0.0,0.0,0.0,0.0,7,3.0,10.0,0,7,6,1,0,0,30.0,8.073,47.202,4.0393832445975,116940.0,1.5,5.8,37229.0,1.51075,13.9244,20.20764,33839296,11960037,21879259,33839296,19885293,13954003,5261277,65411,1048073,0,7579242
Kriens,27.024600466870176,590.0,3.6,2.0,9.8,7.3,3.7,0.1,7.3,1.9,0.5,55,1.9,53.0,0,73,59,9,4,1,64.0,8.279,47.033,0.8103959075889757,86729.0,5.0,0.0,29800.0,1.440025,13.14608,19.13086895,405091731,137540394,267551337,405091731,259477564,145614167,101901131,1098823,6028800,0,36585413
Luthern,0.6464356257855989,8.0,1.3,1.2,3.4,2.3,1.3,0.0,0.0,0.0,0.0,2,1.6,2.0,0,4,2,2,0,0,14.0,7.916,47.059,11.930607051601106,82343.0,4.2,0.0,23407.0,1.618375,15.1088,20.20764,22789174,9091712,13697463,22789174,10006222,12782953,5377405,89626,1536770,0,5779152
